Row,Load_F1,Load_F2,Load_F3,RT_F1,RT_F2,RT_F3,Util_F1,Util_F2,Util_F3,Cold_F1,Cold_F2,Cold_F3
row_sim_1,0.1,0.1,0.1,0.2133372141346378,0.2139186021481974,0.2144568763173614,0.9989883662114315,0.9984962406015038,0.9989842559674962,0.0010116337885685382,0.0015037593984962407,0.001015744032503809
row_sim_2,0.2,0.1,0.2,0.21367139267703963,0.21378838170707062,0.21395242589297447,0.9989891331817033,0.9985408560311284,0.9992405063291139,0.0010108668182966893,0.0014591439688715954,0.0007594936708860759
row_sim_3,0.3,0.3,0.1,0.21311833026960664,0.21291313803310347,0.21496906043317687,0.9994940978077572,0.99933818663137,0.9990108803165183,0.000505902192242833,0.0006618133686300463,0.0009891196834817012
row_sim_4,0.5,0.2,0.4,0.2130703073350648,0.21330337084727777,0.21370312233581326,0.9996023461576697,0.9992594421130585,0.9994954591321897,0.00039765384233025154,0.0007405578869414959,0.0005045408678102926
row_sim_5,0.4,0.6,0.3,0.2132325662176124,0.21272308860712735,0.21395064291434446,0.9995017438963627,0.9996668054977093,0.9995025700547173,0.0004982561036372695,0.0003331945022907122,0.000497429945282706
row_sim_6,0.8,0.5,0.5,0.21295026661649274,0.21273312693344837,0.21380863172618564,0.9997441310049254,0.9996073812328229,0.9996057171020207,0.00025586899507452183,0.00039261876717707107,0.00039428289797930016
row_sim_7,1.0,0.8,0.6,0.2129963987537921,0.21275256873853973,0.2137814048018875,0.999650471862985,0.9996229497894803,0.9996648512777545,0.0003495281370150297,0.0003770502105197009,0.00033514872224549644
row_sim_8,0.5,1.2,0.9,0.213661150781382,0.21273177866321932,0.2135655181932223,0.9992004797121727,0.9996257796257796,0.9997203110141523,0.0007995202878273036,0.00037422037422037423,0.0002796889858477373
row_sim_9,1.5,1.0,1.5,0.2139661616752785,0.21447863246368748,0.21340390378198398,0.9986747945931619,0.9980545717563726,0.9998322541684839,0.0013252054068380599,0.0019454282436274755,0.00016774583151608682
row_sim_10,2.0,1.5,1.0,0.21652126361044668,0.21736721256669428,0.21353548385869237,0.996337547662051,0.9951871657754011,0.9997521930911434,0.003662452337949027,0.004812834224598931,0.0002478069088566189
row_sim_11,1.2,2.5,1.8,0.21874444525905354,0.21521335774593114,0.21342833678460024,0.9942904124606039,0.9972565458815267,0.9997849198058133,0.005709587539396154,0.0027434541184733225,0.0002150801941866896
row_sim_12,3.0,2.0,2.0,0.2216967584191133,0.2251563385950543,0.21407352190356577,0.9914160062086969,0.9878474647297109,0.9991332986652799,0.00858399379130312,0.012152535270289146,0.0008667013347200555
row_sim_13,2.5,3.5,2.5,0.23395956829503076,0.22685160184148395,0.2156470184554304,0.979836642630122,0.9861477094161731,0.9976851851851852,0.020163357369877996,0.01377976550223619,0.0022808510638297873
row_sim_14,4.0,3.0,3.5,0.24352679064069385,0.24876743386725692,0.219974816927576,0.9707511749415811,0.965340630042798,0.9935047442305965,0.029067324860833944,0.034555341168216104,0.006375909240578322
row_sim_15,3.5,4.5,4.0,0.27527371801644396,0.25769633198098996,0.22934676321460423,0.9407883549297691,0.9568741110484932,0.9844912407007439,0.05858139139309406,0.042444092458857954,0.015092867644852521
row_sim_16,5.0,4.0,4.5,0.29622764260304857,0.2998548203944709,0.24754072531681437,0.9211881402786058,0.9172848287775632,0.9672731604180935,0.07675402897607032,0.08093445902417523,0.03132171062434808
row_sim_17,4.5,5.5,5.0,0.38727637938724446,0.34262023804790936,0.283406006938916,0.8361015877242619,0.8765712099683025,0.9334592212930491,0.15551912202629906,0.11506149791346365,0.06137976663057861
row_sim_18,6.0,5.0,6.0,0.48573076174795043,0.48258814606843586,0.35435404066980836,0.7404302480888915,0.7441820961440462,0.8603369325569563,0.2293554006968641,0.22932722349510518,0.11616539191442866
row_sim_19,6.5,6.5,6.0,0.611725522816263,0.5648588244114175,0.4334025600874763,0.6124613860231976,0.6544734389561976,0.7699349323807093,0.3165592464055528,0.2773980017940549,0.17221442416950739
row_sim_20,7.0,7.0,7.0,0.740452549869489,0.6736842167037523,0.5012330490650208,0.489079939668175,0.5430355284673704,0.6872986723665593,0.395471569628873,0.3427458617332035,0.20721107769589214
row_sim_21,23.229983654251104,13.194409270573967,25.765007701345905,0.719618421280519,0.7959963611262405,0.4795377156278227,0.21778371161548732,0.21432959969752824,0.34672529171599065,0.28058761804826865,0.37225419945964994,0.12228392731978217
row_sim_22,20.93617247032795,2.8706115692351033,29.26988943152084,0.6029201429549111,1.0945142670634873,0.4590072940124166,0.37530820263846876,0.15923091282434199,0.4629683205554752,0.2215192906781692,0.6711047139258726,0.11061212535390022
